FirstName,Name,DateOfBirth,PhoneNumber,Email
Anna,Müller,1981-03-04,01835-703597,anna.mueller@gmail.com
Jannik,Schulz,1986-07-01,01937-864715,jannik.schulz@gmx.de
Ludmilla,Schmidt,1972-11-20,01874/856950,lud28@web.de
Ulysses,Schneider,1976-11-23,01428-343825,admin@uschneider.de
Michelle,Fischer,1975-11-15,01260641258,m.fischer@googlemail.com
Erik,Mayer,1980-08-01,01469-300335,erik80@gmail.com
Mark,Schäfer,1985-06-27,01345-400452,schaefer.m@web.de
Sarah,Koch,1975-11-20,01350-332706,skoch22@gmail.com
Laura,Klein,1980-10-01,01753-784273,lklein@web.de
Yvette,Braun,1979-09-17,01676-780022,ybraun@yahoo.com
Ferdinand,Lange,1971-11-24,01731-825958,flang_cool28@gmx.at
Charlotte,Hartmann,1976-09-23,01490898175,charlotte_27@web.de
Martin,Günther,1985-06-25,01793-443665,mgunther@gmail.com
Karin,Frank,1948-11-15,01507-583669,kfrank@gmail.com
Gabriele,Kühler,1970-11-20,01882970809,gabi99@gmail.com
jhkjhljpjpjp
Peter,Krause,1969-07-10,01925-895879,krause.p@gmx.de

Edgar,Schmitt,1982-08-05,01583-168158,eschmitt@aol.com
Klaus-Dieter,Jung,1984-08-08,01695-303367,kdjung@web.de
Hildegard,Keller,1975-10-15,01748/535438,keller1234@gmail.com
